GroupName,CountryCode,CountryName
East Asia & Pacific,MNG,Mongolia
Europe & Central Asia,MNE,Montenegro
Middle East & North Africa,MAR,Morocco
Sub-Saharan Africa,MOZ,Mozambique
East Asia & Pacific,MMR,Myanmar
Sub-Saharan Africa,NAM,Namibia
South Asia,NPL,Nepal
Europe & Central Asia,NLD,Netherlands
East Asia & Pacific,NZL,New Zealand
Latin America & Caribbean,NIC,Nicaragua
Sub-Saharan Africa,NER,Niger
Sub-Saharan Africa,NGA,Nigeria
Europe & Central Asia,NOR,Norway
Middle East & North Africa,OMN,Oman
South Asia,PAK,Pakistan
Latin America & Caribbean,PAN,Panama
Latin America & Caribbean,PRY,Paraguay
Latin America & Caribbean,PER,Peru
East Asia & Pacific,PHL,Philippines
Europe & Central Asia,POL,Poland
Europe & Central Asia,PRT,Portugal
Middle East & North Africa,QAT,Qatar
Europe & Central Asia,ROU,Romania
Europe & Central Asia,RUS,Russian Federation
Sub-Saharan Africa,RWA,Rwanda
Middle East & North Africa,SAU,Saudi Arabia
Sub-Saharan Africa,SEN,Senegal
Europe & Central Asia,SRB,Serbia
Sub-Saharan Africa,SYC,Seychelles
Sub-Saharan Africa,SLE,Sierra Leone
East Asia & Pacific,SGP,Singapore
Europe & Central Asia,SVK,Slovak Republic
Europe & Central Asia,SVN,Slovenia
Sub-Saharan Africa,ZAF,South Africa
Europe & Central Asia,ESP,Spain
South Asia,LKA,Sri Lanka
Sub-Saharan Africa,SDN,Sudan
Europe & Central Asia,SWE,Sweden
Europe & Central Asia,CHE,Switzerland
Europe & Central Asia,TJK,Tajikistan
Sub-Saharan Africa,TZA,Tanzania
East Asia & Pacific,THA,Thailand
East Asia & Pacific,TLS,Timor-Leste
Sub-Saharan Africa,TGO,Togo
East Asia & Pacific,TON,Tonga
Latin America & Caribbean,TTO,Trinidad and Tobago
Middle East & North Africa,TUN,Tunisia
Europe & Central Asia,TUR,Turkey
Sub-Saharan Africa,UGA,Uganda
Europe & Central Asia,UKR,Ukraine
Middle East & North Africa,ARE,United Arab Emirates
Europe & Central Asia,GBR,United Kingdom
North America,USA,United States
Latin America & Caribbean,URY,Uruguay
Europe & Central Asia,UZB,Uzbekistan
Latin America & Caribbean,VEN,"Venezuela, RB"
East Asia & Pacific,VNM,Vietnam
Middle East & North Africa,YEM,"Yemen, Rep."
Sub-Saharan Africa,ZMB,Zambia
Sub-Saharan Africa,ZWE,Zimbabwe
